((B (+ 1)) (* 4)), nan, nan, nan, nan, nan, nan, nan, nan, nan, -5.200792390168183, -5.2162140619233
((B (+ 1)) (* 0)), nan, nan, nan, nan, nan, nan, nan, nan, nan, -5.200792390168183, -4.810748953815136
((B (+ 1)) ((S +) ((S +) (+ 1)))), nan, nan, nan, nan, nan, nan, -5.073193200362224, -4.634756891712917, -4.696561403295504, -4.795327282060018, -4.810748953815136
((B (+ 1)) ((S +) (+ 1))), nan, nan, nan, nan, nan, nan, nan, nan, -5.102026511403668, -5.200792390168183, -5.2162140619233
((B (+ 1)) ((S +) (* 4))), nan, nan, nan, nan, nan, nan, -5.073193200362224, -4.634756891712917, -4.696561403295504, -4.795327282060018, -4.810748953815136
((S +) (+ ((+ 4) 1))), nan, nan, nan, -4.997810374342867, -4.882809418847599, nan, nan, nan, nan, -5.200792390168183, nan
((+ 1) 1), nan, nan, -4.125888267991116, -4.233204229800778, -3.8219374581623367, -3.7525040709327184, -3.548748500761517, -3.5485671230433646, -3.969512671059878, nan, nan
((+ 4) 1), nan, nan, -4.125888267991116, -4.233204229800778, -3.8219374581623367, -3.7525040709327184, -4.241895681321462, -3.8362491954951454, -3.969512671059878, -3.7411667559627433, -4.147015658461484
((S +) (+ ((+ 1) 1))), nan, nan, nan, -4.997810374342867, nan, nan, nan, nan, nan, nan, nan
(+ ((+ 1) 1)), nan, nan, nan, -4.5923452662347035, -4.882809418847599, -4.946426539405153, -5.073193200362224, -5.040221999821082, nan, nan, nan
(+ ((+ 4) 1)), nan, nan, nan, -4.5923452662347035, -4.4773443107394355, -4.946426539405153, -5.073193200362224, -5.040221999821082, -5.102026511403668, -4.795327282060018, -5.2162140619233
4, -3.0, -2.749190838942492, -2.8906584783325986, -2.983611893155523, -2.9786212214819283, -3.0749829853896364, -2.991080806092354, -3.145405043080851, -3.266551418979045, -3.0745444811695695, -2.9168976896414285
3, -3.0, -3.10667479649197, -3.4636288840063165, -3.545612269678635, -3.541233665585793, -3.4883536708133933, -3.8409820416989637, -3.840860567970764, -3.667145375096818, -3.4935406334370858, -3.493840230590177
2, -3.0, -3.10667479649197, -3.4636288840063165, -3.3213552026956985, -3.541233665585793, -3.7840043170879287, -3.8409820416989637, -3.840860567970764, -3.9499799087031677, -3.7949393534831843, -3.493840230590177
((+ 1) ((+ 1) 1)), nan, nan, nan, nan, nan, nan, -4.241895681321462, -4.2417143036033105, -4.3749777791680415, nan, nan
1, -3.0, -3.3485728886168777, -2.7549185529020823, -2.7315920107392793, -2.8445912580518278, -2.783371438233835, -2.8573056941657007, -2.857146716157576, -2.9813138495610376, -2.7801649314301744, -3.074872897672765
0, -3.0, -3.6683159865464936, -3.7618226021238814, -3.8351529613893907, -3.8312526948637107, -3.7840043170879287, -3.8409820416989637, -3.840860567970764, -3.4469216666800504, -3.4935406334370858, -3.2625734870200795
+, -3.0, -2.3265470391933016, -2.4623640705815557, -2.8164932434194987, -2.921916537028134, -2.8996434790518633, -2.9837045066335284, -3.026757629730711, -3.1425378860649493, -3.309587359881023, -3.2505012255587733
*, -3.0, -2.957265745103752, -3.227640231990723, -3.6526675125898747, -3.738724507071404, -3.8237263519126143, -3.8882694245415217, -3.920830968541436, -3.7500833686028106, -3.7741569193653888, -3.910189033790589
S, -3.0, -1.6661391497721616, -2.598564207139316, -2.4601315490182176, -2.2483212813550058, -2.4617141277156285, -2.4680985210084043, -2.26166516870184, -2.323474506350938, -2.326694583089746, -2.327052162132012
I, -3.0, -2.766319109226186, -3.983126976335965, -4.2798372381975245, -4.2220938894679225, -4.254445353766025, -4.315895156107053, -4.300298464125122, -2.7080502011022105, -2.7080502011022105, -2.7080502011022096
C, -3.0, -2.766319109226186, -2.6461747973841225, -2.6461747973841225, -2.646174797384123, -2.646174797384123, -2.6461747973841234, -2.6461747973841225, -2.7080502011022105, -2.7080502011022105, -2.7080502011022096
B, -3.0, -2.766319109226186, -1.9542662059849465, -2.0827311870899234, -2.2483212813550058, -2.08435884624911, -2.0909258488088214, -2.26166516870184, -2.323474506350938, -2.326694583089746, -2.327052162132012
((S +) ((S +) ((S +) (+ 3)))), nan, nan, nan, -4.997810374342867, -4.4773443107394355, -4.946426539405153, -4.66772809225406, -5.040221999821082, -5.102026511403668, -5.200792390168183, -5.2162140619233
((S +) (+ 3)), nan, nan, -4.462360504612329, -4.304663193782922, -4.4773443107394355, -4.946426539405153, -5.073193200362224, -5.040221999821082, -5.102026511403668, -5.200792390168183, -5.2162140619233
((S +) (+ 2)), nan, nan, -4.462360504612329, -4.997810374342867, nan, nan, nan, nan, nan, nan, nan
((S +) (+ 1)), nan, nan, -4.462360504612329, -4.304663193782922, -4.189662238287655, -3.847814250737044, -3.9745809116941153, -4.347074819261136, -4.185735779529513, -4.284501658294028, -4.299923330049145
((S +) ((S +) ((S +) (+ 4)))), nan, nan, nan, -4.997810374342867, -4.882809418847599, -4.540961431296989, -5.073193200362224, -5.040221999821082, -5.102026511403668, -5.200792390168183, -5.2162140619233
((S +) (+ 4)), nan, nan, -4.462360504612329, -4.5923452662347035, -4.4773443107394355, -4.540961431296989, -4.66772809225406, -4.634756891712917, -4.696561403295504, -4.795327282060018, -4.810748953815136
((B (+ 1)) ((B (+ 1)) ((S +) (* 4)))), nan, nan, nan, nan, nan, nan, nan, -5.040221999821082, -5.102026511403668, -5.200792390168183, -5.2162140619233
((S +) (* 4)), nan, nan, nan, nan, nan, -4.946426539405153, -4.66772809225406, -4.634756891712917, -4.696561403295504, -4.795327282060018, -4.810748953815136
((B (+ 1)) ((B (+ 1)) (* 0))), nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, -5.2162140619233
(* 0), nan, nan, nan, nan, nan, nan, nan, nan, -5.102026511403668, -4.795327282060018, -4.810748953815136
(* 4), -3.4047347798818697, -3.546069772738174, -4.5923452662347035, -4.882809418847599, -4.253279358845208, -4.380046019802279, -4.347074819261136, -4.408879330843723, -4.284501658294028, -4.299923330049145
((S +) ((S +) ((S +) ((S +) (+ 3))))), nan, nan, nan, nan, nan, -4.946426539405153, -5.073193200362224, nan, nan, nan, nan
((S +) ((S +) (+ 3))), nan, nan, nan, -4.5923452662347035, -4.4773443107394355, -4.540961431296989, -5.073193200362224, -5.040221999821082, -5.102026511403668, -5.200792390168183, -5.2162140619233
(+ 3), -3.4047347798818697, -3.769213324052384, -4.5923452662347035, -4.882809418847599, -4.946426539405153, -5.073193200362224, -5.040221999821082, -5.102026511403668, -5.200792390168183, -5.2162140619233
(+ 2), -3.4047347798818697, -4.056895396504165, -4.5923452662347035, nan, nan, nan, nan, nan, nan, nan
((S +) ((S +) (+ 1))), nan, nan, nan, -4.997810374342867, -4.4773443107394355, -4.540961431296989, -4.380046019802279, -4.347074819261136, -4.696561403295504, -4.795327282060018, -4.810748953815136
(+ 1), -2.9992696717737055, -3.209597536116961, -3.7450474058475, -3.3787320220713255, -3.5601321782852633, -3.4637552879281244, -3.536144603044807, -3.5979491146273936, -3.9480294216728153, -3.9634510934279317
((S +) ((S +) (+ 4))), nan, nan, nan, -4.5923452662347035, -4.189662238287655, -4.253279358845208, -4.380046019802279, -4.347074819261136, -4.408879330843723, -4.795327282060018, -4.523066881363355
(+ 4), -3.4047347798818697, -3.3637482159442196, -4.081519642468713, -3.966518686973445, -4.030135807530998, -4.156902468488069, -4.123931267946927, -4.185735779529513, -4.284501658294028, -4.299923330049145
(S +), -2.980920533105509, -2.3283981240540768, -2.04602998831806, -2.1414036240445062, -2.305969629435471, -2.406461148590746, -2.458465524043164, -2.625088031264845, -2.6205755605758583, -2.716269534770759
(B (+ 1)), nan, nan, nan, nan, -3.876004679432613, -3.2614810744629077, -2.956507485510018, -2.8261903041684815, -2.7994414184096224, -2.7006182682493947, -2.5984864991143755
