((B ((S +) I)) ((B (+ 1)) ((S *) ((S +) I)))), nan, nan, nan, nan, -6.470590915949901
((B (+ 1)) ((S +) ((S *) (+ 1)))), nan, nan, nan, -5.673543599347574, -4.966513519173628
((B (+ 1)) (* 0)), nan, nan, nan, -6.079008707455738, -5.777443735389956
((B ((S +) I)) ((B (+ 1)) ((S *) (+ 1)))), nan, nan, nan, nan, -6.470590915949901
((B (+ 1)) ((S *) ((S +) ((S +) I)))), nan, nan, nan, -5.385861526895793, -4.966513519173628
((B (+ 1)) ((S *) I)), nan, nan, nan, -5.673543599347574, -5.217827947454533
((B ((S +) I)) ((B (+ 1)) ((S +) ((S *) (+ 1))))), nan, nan, nan, nan, -6.470590915949901
((B (+ 1)) ((S *) ((S +) I))), nan, nan, nan, -5.673543599347574, -5.371978627281792
((S +) ((B (+ 1)) ((S *) ((S +) ((S +) I))))), nan, nan, nan, nan, -6.065125807841737
((B ((S +) I)) ((B (+ 1)) ((S *) ((S +) ((S +) I))))), nan, nan, nan, nan, -6.470590915949901
((B ((S +) I)) ((B (+ 1)) ((S *) I))), nan, nan, nan, nan, -6.470590915949901
((B (+ 1)) ((S *) (+ 1))), nan, nan, nan, -5.673543599347574, -5.217827947454533
((S +) ((B (+ 1)) ((S +) ((S *) (+ 1))))), nan, nan, nan, nan, -6.065125807841737
((+ 1) 1), nan, nan, -2.964495820833067, -2.13327464468528, -2.9590454771188806
(+ ((+ 1) 1)), nan, nan, nan, -6.079008707455738, -4.861153003515801
1, -1.907320729574316, -2.040997173055561, -2.1582633803981133, -2.636981233039989, -2.1533944010009374
0, -1.2344460200817244, -2.2856570412250448, -2.579710640100938, -2.922079351143242, -2.5759979267476565
+, -1.6997884275721535, -2.577705132611361, -3.1532193779258795, -3.4044099030364565, -3.857088698136902
*, -2.7889225276812533, -2.917015952878851, -3.75257289248389, -4.498674620991114, -4.703076685955182
S, -2.4999740042874468, -1.5921559644384473, -2.207254933841817, -3.1493757993485825, -3.1111042992149103
((S +) ((S +) ((S +) ((S +) I)))), nan, nan, nan, nan, -6.470590915949901
((S +) ((S +) I)), nan, nan, -3.957747593843351, -4.064105686913473, -4.524680766894589
I, -3.1168001002106287, -3.51472903240146, -4.29019676884618, -4.997947647923324, -5.15388700894842
C, -2.177495060048337, -2.417250175239228, -2.3614756923582045, -2.361475692358205, -2.3614756923582036
B, -2.569080807804784, -2.808835922995675, -2.2114090109540205, -1.728170876441484, -1.7365648152069955
((S *) ((S +) I)), nan, nan, -4.1808911451575606, -4.374260615217313, -4.861153003515801
((S +) ((S *) ((S +) ((S +) I)))), nan, nan, nan, -5.673543599347574, -5.217827947454533
((B ((S +) I)) ((S +) ((S +) (+ 1)))), nan, nan, nan, -6.079008707455738, -6.470590915949901
((B ((S +) I)) (+ 1)), nan, nan, nan, -6.079008707455738, -5.217827947454533
((S +) ((B ((S +) I)) ((S +) (+ 1)))), nan, nan, nan, nan, -6.470590915949901
((B ((S +) I)) ((S +) ((S *) (+ 1)))), nan, nan, nan, -5.673543599347574, -5.371978627281792
((S *) (+ 1)), nan, nan, -3.957747593843351, -4.207206530554147, -4.678831446721847
((S +) ((S +) ((S *) (+ 1)))), nan, nan, nan, -5.673543599347574, -5.084296554830011
((S +) ((S +) ((S +) (+ 1)))), nan, nan, nan, -5.673543599347574, -5.371978627281792
((S +) (+ 1)), nan, nan, -4.1808911451575606, -4.064105686913473, -4.524680766894589
((B ((S +) I)) ((S *) ((S +) ((S +) I)))), nan, nan, nan, -6.079008707455738, -6.470590915949901
((B ((S +) I)) ((B ((S +) I)) ((S +) ((S *) (+ 1))))), nan, nan, nan, nan, -6.470590915949901
((S +) ((S *) (+ 1))), nan, nan, -4.874038325717505, -4.287249238227683, -4.678831446721847
((S +) ((S +) ((S +) ((S *) (+ 1))))), nan, nan, nan, nan, -6.065125807841737
(* 0), nan, -3.570321379411787, -4.874038325717505, -5.673543599347574, -6.065125807841737
((S +) ((S +) ((S +) ((S +) (+ 1))))), nan, nan, nan, nan, -6.470590915949901
((S +) ((S +) (+ 1))), nan, nan, -4.874038325717505, -4.207206530554147, -4.678831446721847
(+ 1), nan, -2.6540306475376325, -3.082278856489451, -3.8277169088492435, -4.391149374270066
((B ((S +) I)) ((S *) ((S +) I))), nan, nan, nan, -6.079008707455738, -5.777443735389956
((B ((S +) I)) ((S +) ((S *) ((S +) ((S +) I))))), nan, nan, nan, nan, -6.470590915949901
((B ((S +) I)) ((S +) ((S +) I))), nan, nan, nan, -6.079008707455738, -6.470590915949901
((S +) ((S +) ((S +) I))), nan, nan, nan, -5.673543599347574, -5.554300184075746
((S +) I), nan, -3.164856271303623, -3.369960928941232, -4.374260615217313, -5.084296554830011
((S *) ((S +) ((S +) I))), nan, nan, -4.874038325717505, -4.574931310679464, -4.966513519173628
((S *) I), nan, nan, -4.874038325717505, -5.162717975581583, -5.554300184075746
((S +) ((S +) ((S *) ((S +) ((S +) I))))), nan, nan, nan, nan, -6.470590915949901
((B ((S +) I)) ((S +) ((S +) ((S +) (+ 1))))), nan, nan, nan, nan, -6.470590915949901
((B ((S +) I)) ((S +) (+ 1))), nan, nan, nan, -5.673543599347574, -5.554300184075746
(S +), nan, -2.723023519024584, -2.5191848041777036, -2.974991095234288, -2.9303353712364495
(S *), nan, -3.010705591476365, -3.212331984737649, -4.392057115020933, -4.821185743108736
((B ((S +) I)) ((S *) (+ 1))), nan, nan, nan, -6.079008707455738, -5.554300184075746
((B ((S +) I)) ((S +) ((S +) ((S *) (+ 1))))), nan, nan, nan, nan, -6.470590915949901
((S +) ((B ((S +) I)) ((S +) ((S *) (+ 1))))), nan, nan, nan, nan, -6.470590915949901
(B ((S *) ((S +) I))), nan, nan, nan, -5.372886368032659, -6.207480104228626
(B ((S +) ((S +) I))), nan, nan, nan, -4.6797391874727134, -4.192577083686362
(B ((S +) (+ 1))), nan, nan, nan, -4.6797391874727134, -3.8561048470651484
(B ((S *) (+ 1))), nan, nan, nan, -4.862060744266668, -4.954717135733258
(B ((S +) ((S +) (+ 1)))), nan, nan, nan, -4.392057115020933, -3.9561883056221308
(B (+ 1)), nan, nan, -3.6823356139833843, -3.6382853126445527, -4.010255526892407
(B ((S +) ((S *) (+ 1)))), nan, nan, nan, -5.085204295580878, -5.514332923668681
(B ((S *) I)), nan, nan, nan, -5.372886368032659, -5.514332923668681
(B ((S +) I)), nan, nan, -3.50001405718943, -3.1042028267142943, -3.008806986677945
